from,to,label,strength,trust,statement,quote,full.quote,combo.type,definition.type,Interview,Positive,sensitivity,specificity
52,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
35,73,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
35,73,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
36,107,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
52,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
52,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
52,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
52,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
53,104,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
52,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
33,101,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
52,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
54,107,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
31,80,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
54,107,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
35,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,106,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
55,78,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
55,78,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
44,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
56,73,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
56,73,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
36,107,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
31,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
33,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
